지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
종로구,"17,851","9,204,140","63,492","76,653",799
중구,"10,383","10,078,848","79,223","68,210",497
용산구,"17,138","10,756,612","51,229","79,805","11,128"
성동구,"13,980","11,804,313","59,832","99,986",0
광진구,"21,556","12,272,738","68,756","123,447",0
동대문구,"21,794","12,664,554","65,913","111,420",0
중랑구,"23,950","15,182,802","59,370","109,284","7,442"
성북구,"27,112","15,938,807","77,007","148,376",0
강북구,"23,334","9,458,987","47,731","100,045",0
도봉구,"13,168","10,644,704","44,985","90,379","5,268"
노원구,"9,704","17,197,086","77,010","94,340","50,859"
은평구,"25,200","14,735,131","75,914","130,159","14,370"
서대문구,"17,651","12,559,425","65,164","111,542","6,330"
마포구,"18,844","15,024,186","92,453","114,931","20,148"
양천구,"14,690","15,428,339","70,721","82,857","49,258"
강서구,"20,446","20,641,866","86,809","128,786","35,896"
구로구,"17,204","13,509,894","59,916","120,457","2,963"
금천구,"12,135","7,420,441","34,791","69,814",732
영등포구,"18,133","14,914,027","87,480","114,238","13,531"
동작구,"20,102","13,612,946","66,811","132,285",899
관악구,"26,460","14,997,859","85,416","158,543",0
서초구,"12,856","21,560,285","135,491","121,437","38,866"
강남구,"16,129","29,961,585","180,121","149,045","83,459"
송파구,"19,331","26,573,343","139,117","143,601","71,954"
강동구,"16,636","15,048,315","70,341","121,931","11,921"
