지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
종로구,"17,929","9,141,777","64,818","82,015",111
중구,"10,598","10,056,233","81,672","75,260",563
용산구,"17,201","10,639,652","52,659","85,220","12,043"
성동구,"14,180","11,631,770","60,559","107,416",0
광진구,"21,520","12,054,796","70,609","130,308",0
동대문구,"23,072","12,477,069","68,221","120,591",0
중랑구,"24,096","15,072,955","61,246","115,765","8,339"
성북구,"27,612","15,745,326","79,365","160,854",0
강북구,"23,678","9,496,358","49,566","108,311",0
도봉구,"13,160","10,575,044","46,228","96,498","6,053"
노원구,"9,766","17,227,931","80,522","101,334","56,482"
은평구,"25,534","14,271,100","76,127","136,469","13,822"
서대문구,"17,933","12,159,965","65,234","116,563","6,701"
마포구,"19,003","14,946,106","94,151","122,285","20,307"
양천구,"14,801","15,365,554","73,188","87,791","43,104"
강서구,"20,423","19,981,912","86,299","135,324","31,572"
구로구,"17,146","13,056,380","61,253","126,046","1,528"
금천구,"12,113","7,260,317","34,724","70,807",792
영등포구,"18,254","14,792,519","88,636","120,803","14,911"
동작구,"20,144","13,342,622","68,158","138,503","2,076"
관악구,"26,318","14,896,412","87,602","167,297",0
서초구,"13,412","21,449,174","140,541","132,590","42,590"
강남구,"16,197","29,790,359","184,017","162,452","89,631"
송파구,"19,343","26,406,179","142,285","152,050","78,519"
강동구,"16,667","15,204,263","72,478","129,259","12,174"
