지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
중구,"9,147","4,794,020","28,914","24,612",0
동구,"26,179","14,438,655","61,263","92,521","3,702"
서구,"23,887","6,352,479","29,210","44,146","1,814"
남구,"20,234","6,692,381","32,225","49,355",0
북구,"22,682","19,360,710","79,227","127,885",0
수성구,"23,872","19,742,250","77,793","132,760",0
달서구,"24,562","23,113,507","100,115","100,711","60,840"
달성군,"13,719","10,428,507","42,579","50,154","12,263"
