지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
제주시,"67,053","20,275,738","103,217","25,689",0
서귀포시,"35,230","7,512,206","37,884","2,641",0
