지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
동구,"22,218","9,462,121","46,291","59,335",0
중구,"21,907","11,020,948","52,286","70,136",0
서구,"23,850","21,666,912","93,242","116,804","20,582"
유성구,"14,064","18,123,364","81,956","87,942","27,114"
대덕구,"14,095","7,489,567","35,885","45,354","3,645"
