지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
동구,"13,466","5,493,077","29,909","32,334",0
서구,"16,732","13,495,958","59,916","90,567",687
남구,"17,463","10,192,536","35,993","58,374",0
북구,"28,081","19,106,871","83,887","120,986","4,426"
광산구,"21,919","17,570,614","76,126","92,128","20,814"
