지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
동구,"21,071","9,912,612","44,773","58,321",0
중구,"20,689","10,938,479","49,869","67,198",0
서구,"22,622","22,061,330","93,422","112,365","19,616"
유성구,"14,344","18,703,122","85,578","84,754","26,400"
대덕구,"13,818","7,737,963","34,784","44,217","3,526"
