지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
제주시,"64,743","18,933,369","95,392","15,996",0
서귀포시,"34,154","6,914,685","34,470","1,597",0
