지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
중구,"9,581","6,128,724","30,512","28,685",102
동구,"5,096","2,080,453","10,053","17,113",0
미추홀구,"26,646","14,476,580","63,312","114,153","2,314"
연수구,"6,042","16,467,696","72,704","54,002","52,203"
남동구,"15,541","20,095,904","82,664","118,867","30,499"
부평구,"17,219","15,769,827","78,923","103,594","35,186"
계양구,"8,760","10,231,908","46,060","72,131","13,795"
서구,"16,168","19,723,375","81,659","130,933","32,268"
강화군,"19,830","3,015,488","17,862","8,322",0
옹진군,"5,308","785,929","5,509",0,0
