지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
중구,"10,055","4,874,943","30,743","24,253",0
동구,"27,995","14,138,275","60,643","85,384","3,213"
서구,"25,216","6,588,778","30,066","40,499","1,681"
남구,"21,619","6,667,576","31,837","43,891",0
북구,"23,616","18,689,791","75,541","116,973",0
수성구,"25,423","19,550,148","77,311","124,848",0
달서구,"25,518","23,080,348","99,406","95,030","57,215"
달성군,"13,852","9,842,671","40,198","44,623","12,012"
