지역,건물동수,연면적,에너지사용량(TOE)/전기,에너지사용량(TOE)/도시가스,에너지사용량(TOE)/지역난방
동구,"21,533","9,700,053","44,121","56,628",0
중구,"21,259","11,015,615","49,811","67,250",0
서구,"22,908","21,759,042","91,113","110,126","19,959"
유성구,"14,316","18,621,907","81,896","83,164","26,488"
대덕구,"13,936","7,515,694","34,043","42,563","3,286"
